epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
80,0.206739,,,0.248857,0,0,0.9267,0.9118,0.8789,0.9058,0.9346,0.9312,0.8958,0.9205,0.9205,0.001,0
81,0.192375,,,0.246079,0,0,0.9239,0.9047,0.8805,0.9030,,,,,,0.001,0
82,0.204521,,,0.282889,0,0,0.9220,0.9142,0.8801,0.9054,,,,,,0.001,0
83,0.200243,,,0.243366,0,0,0.9241,0.9106,0.8800,0.9049,,,,,,0.001,0
84,0.197488,,,0.254315,0,0,0.9253,0.9167,0.8829,0.9083,,,,,,0.001,0
85,0.199110,,,0.248630,0,0,0.9188,0.9212,0.8887,0.9096,,,,,,0.001,0
86,0.201127,,,0.247325,0,0,0.9296,0.9135,0.8824,0.9085,,,,,,0.001,0
87,0.203509,,,0.245016,0,0,0.9111,0.8997,0.8836,0.8982,,,,,,0.001,0
88,0.200805,,,0.249896,0,0,0.9223,0.9049,0.8815,0.9029,,,,,,0.001,0
89,0.208422,,,0.278022,0,0,0.9108,0.9111,0.8753,0.8990,,,,,,0.001,0
90,0.206518,,,0.234630,0,0,0.9257,0.9100,0.8743,0.9033,0.9306,0.9331,0.8980,0.9205,0.9205,0.001,1
91,0.196815,,,0.248244,0,0,0.9236,0.9082,0.8778,0.9032,,,,,,0.001,1
92,0.202187,,,0.251457,0,0,0.9247,0.9111,0.8794,0.9051,,,,,,0.001,1
93,0.203989,,,0.258617,0,0,0.9243,0.9030,0.8709,0.8994,,,,,,0.001,1
94,0.200393,,,0.247537,0,0,0.9194,0.9192,0.8850,0.9079,,,,,,0.001,1
95,0.201381,,,0.261228,0,0,0.9158,0.8928,0.8581,0.8889,,,,,,0.001,1
96,0.200463,,,0.221694,0,0,0.9289,0.9114,0.8781,0.9061,,,,,,0.001,1
97,0.191733,,,0.221895,0,0,0.9275,0.9152,0.8859,0.9095,,,,,,0.001,1
98,0.195709,,,0.229638,0,0,0.9180,0.9151,0.8862,0.9064,,,,,,0.001,1
99,0.190513,,,0.219174,0,0,0.9207,0.9226,0.8861,0.9098,,,,,,0.001,1
100,0.208317,,,0.258403,0,0,0.9196,0.8970,0.8703,0.8956,0.9258,0.9089,0.8862,0.9070,0.9070,0.001,2
101,0.203017,,,0.259051,0,0,0.9277,0.9059,0.8804,0.9047,,,,,,0.001,2
102,0.197145,,,0.231698,0,0,0.9249,0.9137,0.8877,0.9088,,,,,,0.001,2
103,0.184232,,,0.227085,0,0,0.9222,0.9158,0.8842,0.9074,,,,,,0.001,2
104,0.198115,,,0.227674,0,0,0.9173,0.9115,0.8735,0.9008,,,,,,0.001,2
105,0.193123,,,0.224014,0,0,0.9212,0.9171,0.8837,0.9073,,,,,,0.001,2
106,0.197146,,,0.236621,0,0,0.9146,0.9142,0.8862,0.9050,,,,,,0.001,2
107,0.196061,,,0.254794,0,0,0.9281,0.9191,0.8895,0.9122,,,,,,0.001,2
108,0.210679,,,0.262795,0,0,0.9150,0.9091,0.8754,0.8998,,,,,,0.001,2
109,0.212638,,,0.260374,0,0,0.9244,0.9160,0.8839,0.9081,,,,,,0.001,2
110,0.204852,,,0.243160,0,0,0.9253,0.9086,0.8728,0.9022,0.9363,0.9313,0.8966,0.9214,0.9214,0.001,3
111,0.187881,,,0.225431,0,0,0.9288,0.9161,0.8858,0.9103,,,,,,0.001,3
112,0.190138,,,0.221479,0,0,0.9238,0.9237,0.8904,0.9126,,,,,,0.001,3
113,0.214496,,,0.268308,0,0,0.9052,0.9204,0.8871,0.9042,,,,,,0.001,3
114,0.204269,,,0.256429,0,0,0.9278,0.9042,0.8707,0.9009,,,,,,0.001,3
115,0.188717,,,0.207359,0,0,0.9244,0.9231,0.8851,0.9109,,,,,,0.001,3
116,0.178873,,,0.182865,0,0,0.9171,0.9183,0.8909,0.9088,,,,,,0.001,3
117,0.192551,,,0.228274,0,0,0.9240,0.9104,0.8784,0.9042,,,,,,0.001,3
118,0.192845,,,0.220564,0,0,0.9265,0.9200,0.8899,0.9121,,,,,,0.001,3
119,0.189987,,,0.222210,0,0,0.9211,0.9184,0.8876,0.9090,,,,,,0.001,3
120,0.184013,,,0.204239,0,0,0.9278,0.9125,0.8850,0.9085,0.9389,0.9350,0.9029,0.9256,0.9256,0.001,0
121,0.194014,,,0.256458,0,0,0.9247,0.9198,0.8863,0.9103,,,,,,0.001,0
122,0.214384,,,0.280291,0,0,0.9039,0.9194,0.8841,0.9025,,,,,,0.001,0
123,0.190400,,,0.231842,0,0,0.9266,0.9159,0.8820,0.9082,,,,,,0.001,0
124,0.209296,,,0.242425,0,0,0.9169,0.8897,0.8617,0.8895,,,,,,0.001,0
125,0.201895,,,0.262890,0,0,0.9114,0.9123,0.8820,0.9019,,,,,,0.001,0
126,0.188061,,,0.216198,0,0,0.9312,0.9107,0.8804,0.9074,,,,,,0.001,0
127,0.181441,,,0.210930,0,0,0.9308,0.9184,0.8871,0.9121,,,,,,0.001,0
128,0.202484,,,0.246859,0,0,0.9303,0.9177,0.8856,0.9112,,,,,,0.001,0
